accession,species
CP138982,Winogradskyella sp. MIT101101
CP129556,Staphylococcus aureus
NZ_CP027806,Cyclonatronum proteinivorum
NZ_CP003409,Thermotoga sp. Cell2
CP082927,Candidatus Peribacteria bacterium
NZ_CP089227,Nocardia asteroides
NZ_CP041847,Mycobacterium tuberculosis
CP144380,Gaopeijia maritima
CP071032,Lentisphaerota bacterium
CP138927,Synechococcus sp. MIT S9506
CP176809,Flavobacterium psychrophilum
NZ_CP092056,Listeria monocytogenes
CP064972,Holophagales bacterium
CP055307,Candidatus Woesebacteria bacterium
CP064958,Candidatus Nomurabacteria bacterium
CP054182,Ignavibacteriales bacterium
CP043495,Archangium gephyra
CP180383,Bifidobacterium animalis subsp. lactis
CP179888,Candidatus Nealsonbacteria bacterium
CP043493,Archangium violaceum
CP176590,Campylobacter lari
CP048114,Edaphobacter sp. 12200R-103
CP063375,Deferrivibrio metallireducens
CP070500,Myxococcus xanthus DZ2
NZ_CP138971,Synechococcus sp. MIT S9451
CP080651,Dehalococcoides mccartyi
CP177185,Campylobacter lari
NZ_CP077191,Fusobacterium animalis
NZ_CP141531,Dehalococcoides mccartyi
NZ_CP138936,Prochlorococcus sp. SS52
NZ_AP019796,Rhodothermus marinus
CP064964,Candidatus Uhrbacteria bacterium
CP146516,Spirobacillus cienkowskii
NZ_CP009471,Marinitoga sp. 1137
CP077684,Geomonas nitrogeniifigens
NZ_CP119075,Synoicihabitans lomoniglobus
NZ_CP116236,Gordonia polyisoprenivorans
CP011215,Candidatus Campbellbacteria bacterium GW2011_OD1_34_28
CP011214,Candidatus Woesebacteria bacterium GW2011_GWF1_31_35
CP061210,Candidatus Nealsonbacteria bacterium
NZ_CP072943,Aminithiophilus ramosus
CP011268,candidate division SR1 bacterium Aalborg_AAW-1
NZ_CP133761,Akkermansia sp. EB-AMDK43
NZ_AP031330,Thermus thermophilus
CP001145,Coprothermobacter proteolyticus DSM 5265
NZ_CP096807,Spiroplasma citri
CP065002,Candidatus Woesebacteria bacterium
CP019999,Dehalococcoides mccartyi
CP171104,Cloacibacillus evryensis
NZ_CP021023,Sedimentisphaera salicampi
CP047921,Candidatus Saccharibacteria bacterium oral taxon 488
NZ_CP077140,Fusobacterium nucleatum
CP087999,Geomonas sp. RF6
CP096137,Elusimicrobiota bacterium
NZ_CP066027,Campylobacter coli
FP565575,Candidatus Methylomirabilis oxygeniifera
NZ_CP073782,Klebsiella pneumoniae
CP020873,Prosthecochloris sp. HL-130-GSB
NZ_CP181124,Staphylococcus aureus
NZ_CP045921,Candidatus Mycosynbacter amalyticus
CP129490,Melioribacteraceae bacterium
NZ_CP007496,Candidatus Nanosynbacter lyticus
NZ_CP098753,Brachyspira pilosicoli
NZ_CP065383,Atribacter laminatus
CP074691,Aminirod propionatiphilus
CP042912,Mariniblastus fucicola
CP179927,Dehalococcoides mccartyi
NZ_CP116016,Latilactobacillus curvatus
CP137887,Akkermansia muciniphila
NZ_CP041698,Chlorobium phaeovibrioides
CP044990,Deinococcus sp. AJ005
CP047593,Tichowtungia aerotolerans
CP129555,Staphylococcus aureus
NZ_CP039489,Salmonella enterica subsp. enterica serovar Bareilly str.
NZ_AP021874,Desulfosarcina alkanivorans
CP177355,Rubrivirga sp. IMCC43871
CP020382,Rhodothermaceae bacterium RA
NZ_AP019840,Leptotrichia trevisanii
NZ_CP036280,Mucisphaera calidilacus
NZ_CP053085,Gemmatimonas groenlandica
