species,count
Candidatus Nealsonbacteria bacterium,7
Candidatus Nomurabacteria bacterium,6
Staphylococcus aureus,6
Candidatus Moraniibacteriota bacterium,6
Salinibacter ruber,5
Akkermansia muciniphila,5
Dehalococcoides mccartyi,5
Chlamydia trachomatis,4
Campylobacter lari,4
Candidatus Woesebacteria bacterium,4
Fusobacterium animalis,4
Thermus thermophilus,4
Pseudogemmatithrix spongiicola,4
Archangium violaceum,3
Fusobacterium polymorphum,3
Nitrospira sp.,3
Candidatus Parcubacteria bacterium,3
Candidatus Saccharibacteria bacterium oral taxon 488,3
Candidatus Peregrinibacteria bacterium,3
Chlamydia psittaci,3
